Mes,TemperaturaPromedio (°C),Precipitación (mm),IncidenciaPlaga
2021-12,16.88,13.5,0
2023-01,17.81,0.0,0
2022-10,22.1,76.7,5
2023-11,18.44,14.7,1
2020-10,25.15,78.3,8
2023-07,25.48,177.4,5
2022-02,20.91,43.3,6
2025-08,25.25,197.4,9
2020-02,19.13,54.3,0
2020-01,19.54,47.3,0
2022-03,22.49,8.7,3
2022-07,26.51,188.4,10
2023-11,18.5,17.6,0
2021-10,21.05,81.9,5
2025-05,22.32,44.9,4
2022-04,24.04,18.4,3
2019-11,18.4,5.8,1
2019-11,18.49,30.2,0
2025-10,24.5,82.7,11
2019-12,14.98,67.6,0
2025-08,24.65,139.4,4
2020-12,17.79,100.9,4
2019-08,22.69,168.2,8
2021-02,18.02,70.0,4
2023-04,25.6,2.2,5
2021-12,20.09,17.1,1
2024-06,27.37,152.4,8
2023-04,24.9,20.9,5
2021-10,22.77,97.9,3
2023-06,25.57,140.6,4
2025-10,21.45,101.6,0
2021-11,19.06,58.4,1
2020-01,20.14,36.6,3
2021-11,19.98,42.3,6
2024-11,19.89,32.1,1
2020-07,22.17,215.3,8
2025-08,25.54,165.4,5
2023-02,18.34,33.7,0
2023-03,17.73,30.3,1
2021-03,23.03,30.3,4
2025-06,27.1,147.6,13
2019-04,25.6,20.0,4
2021-02,20.06,33.8,1
2021-12,17.63,29.4,4
2022-05,25.52,80.9,6
2022-04,23.38,27.2,7
2020-01,17.52,43.2,2
2020-07,28.59,169.4,11
2019-09,24.93,133.0,12
2023-01,16.58,38.2,0
2021-06,29.19,140.4,21
2022-12,17.1,20.5,0
2023-02,19.29,9.2,0
2023-11,18.93,37.3,4
2022-10,26.25,42.1,5
2023-07,30.19,179.7,14
2023-02,20.27,30.5,2
2023-07,25.88,219.1,7
2023-04,20.72,36.6,2
2021-03,22.11,11.0,7
2020-09,22.11,131.9,5
2024-07,28.46,203.9,13
2021-05,29.59,71.9,8
2022-11,20.0,70.4,7
2020-05,22.55,34.2,2
2022-01,19.43,49.1,3
2022-09,23.98,158.5,10
2023-05,25.48,65.9,3
2022-09,22.35,173.2,7
2021-07,29.25,207.7,13
2025-09,22.69,136.3,8
2022-08,27.83,179.5,14
2024-08,27.24,143.7,10
2024-02,21.3,53.6,1
2022-11,18.63,54.9,2
2025-03,19.0,45.6,2
2019-11,21.09,55.5,2
2025-06,26.39,153.7,6
2024-12,21.99,16.6,2
2022-07,27.28,150.4,7
2024-02,21.63,38.5,5
2022-08,27.65,151.5,14
2020-11,16.53,76.8,0
2024-08,27.86,140.1,10
2020-09,27.11,149.5,7
2021-03,21.5,50.1,1
2022-08,29.26,171.4,9
2024-11,15.36,66.6,0
2021-09,26.66,167.9,8
2022-06,25.92,141.0,11
2019-04,27.97,35.1,17
2019-10,20.96,99.9,5
2019-05,24.95,80.3,8
2019-07,25.07,163.8,4
2025-01,11.76,27.4,0
2024-11,18.04,53.0,1
2024-10,22.55,76.4,5
2019-05,27.3,53.2,9
2019-07,27.72,153.4,11
2020-12,15.83,49.9,0
2022-12,19.5,68.6,2
2021-05,29.68,53.4,8
2022-05,28.25,60.5,5
2020-03,19.48,28.1,3
2024-02,16.89,6.7,0
2021-03,20.2,29.8,5
2019-06,30.18,138.3,14
2024-03,20.15,0.0,1
2025-04,25.58,43.5,4
2019-02,16.74,0.0,0
2022-01,20.57,50.8,3
2024-10,23.24,93.0,5
2023-12,16.28,54.4,0
2024-12,14.76,29.5,0
2021-11,21.68,12.9,4
2021-08,29.61,179.3,12
2023-12,17.14,67.8,0
2020-01,18.28,74.4,1
2020-09,24.48,140.3,7
2023-03,20.67,0.0,0
2023-09,28.49,151.4,11
2019-11,22.44,32.2,2
2022-07,25.03,215.5,11
2021-07,25.98,189.8,12
2022-07,26.53,187.0,8
2025-09,23.72,171.9,7
2019-07,28.7,175.2,11
2025-12,19.74,37.3,2
2022-02,22.75,24.9,3
2024-05,26.93,70.8,7
2021-12,18.93,22.4,0
2021-03,19.32,31.3,2
2024-05,29.11,56.7,5
2023-10,26.85,97.1,10
2020-01,15.52,27.6,2
2023-12,18.98,29.2,1
2024-04,26.22,40.4,3
2021-09,28.55,142.6,8
2025-06,25.58,192.1,6
2023-06,27.87,156.9,7
2021-05,25.15,35.4,4
2019-01,17.18,22.5,0
2023-09,23.92,144.6,8
2020-06,28.75,147.6,7
2024-04,23.94,18.3,2
2022-09,22.17,129.9,5
2022-04,22.3,30.1,6
2020-02,16.24,19.3,2
2023-12,19.36,73.9,3
2020-02,18.07,6.8,3
2021-12,18.76,15.9,1
2024-11,19.74,114.0,3
2025-06,28.01,151.1,11
2025-12,19.16,34.1,1
2025-09,23.87,124.6,3
2022-11,22.41,41.2,0
2020-05,24.81,51.9,8
2024-11,21.52,65.3,1
2024-08,30.87,159.0,12
2025-12,22.04,21.5,5
2023-07,27.91,175.9,12
2019-12,18.71,0.0,0
2022-07,26.39,169.0,4
2022-02,18.41,15.8,0
2024-11,17.53,51.3,1
2021-09,26.06,162.6,5
2021-04,24.53,39.5,2
2019-07,23.59,147.7,5
2024-11,19.76,78.9,5
2024-04,22.04,31.5,2
2019-04,20.74,73.0,3
2022-01,17.51,14.1,0
2022-05,27.6,87.0,9
2022-04,24.35,8.2,5
2025-06,27.93,185.4,12
2020-01,16.98,31.6,0
2021-02,15.79,42.8,0
2020-04,20.71,15.4,2
2020-09,24.94,112.6,5
2025-05,25.43,98.1,7
2025-08,27.55,143.4,10
2019-04,19.6,22.5,2
2023-06,28.51,170.7,11
2020-08,28.84,148.9,12
2020-05,23.23,47.8,6
2021-01,20.16,27.7,1
2020-05,22.68,38.8,8
2022-06,27.74,181.6,7
2025-12,15.79,45.3,1
2023-02,17.97,38.9,0
2024-01,17.18,53.0,0
2022-06,28.52,147.4,10
2019-02,14.42,5.3,0
2019-08,28.26,179.1,8
2020-11,22.83,61.6,4
2020-09,22.77,115.2,7
2024-11,20.8,55.6,3
2024-11,18.42,58.9,0
2024-12,19.19,60.0,1
2023-06,27.84,139.9,7
2022-11,18.36,57.6,1
2023-07,25.81,194.6,7
2021-11,22.57,49.8,4
2023-09,25.75,130.3,15
2024-07,28.08,194.7,9
2024-05,26.04,47.8,6
2023-04,24.42,50.2,6
2019-05,26.02,59.9,6
2024-01,20.78,113.0,4
2021-07,24.58,154.5,4
2024-03,19.76,0.0,3
2022-10,22.41,117.1,2
2025-03,21.59,16.4,3
2021-05,28.13,39.1,15
2025-07,21.25,158.9,9
2024-11,20.09,54.0,5
2021-04,28.13,8.0,7
2022-05,25.73,59.0,6
2022-09,21.21,128.4,5
2024-05,29.71,45.4,7
2023-10,24.05,48.4,6
2024-12,19.5,29.2,3
2021-08,25.69,152.2,8
2022-07,26.84,206.2,17
2022-01,21.43,35.0,1
2025-05,26.7,23.6,6
2021-02,17.19,43.0,0
2023-02,16.61,21.4,2
2019-11,18.02,36.9,0
2024-12,19.77,24.3,0
2021-09,27.11,127.8,10
2021-05,26.66,25.5,5
2023-01,15.35,45.5,0
2022-06,26.89,158.7,9
2024-12,17.72,46.5,2
2022-09,28.06,116.8,8
2022-08,28.18,174.5,7
2019-09,25.31,161.5,7
2019-02,17.64,7.0,0
2021-10,23.02,99.7,5
2025-12,19.71,36.0,1
2025-06,26.88,159.2,6
2023-05,26.08,56.0,2
2023-05,28.17,64.5,10
2021-09,23.39,161.8,3
2020-03,20.33,0.0,0
2019-01,14.82,28.5,0
2021-05,26.49,61.9,10
2021-03,20.44,16.6,2
2020-05,24.92,40.3,5
2020-10,26.77,78.1,9
2019-03,18.02,28.3,0
2023-04,24.31,23.1,5
2025-06,27.54,153.2,4
2023-11,19.71,65.1,1
2022-02,22.04,0.0,1
2021-12,19.11,14.1,0
2021-02,18.71,2.5,3
2019-12,20.17,21.3,0
2023-03,21.12,0.2,2
2022-12,20.43,27.4,4
2019-01,15.73,27.5,0
2021-11,19.89,27.6,2
2020-12,19.42,57.2,1
2020-03,18.56,14.4,2
2023-12,14.33,71.8,0
2022-09,20.93,145.1,4
2023-06,27.14,159.9,8
2023-12,18.63,58.6,0
2025-11,19.47,61.0,3
2024-08,23.41,153.9,5
2023-05,30.55,88.1,7
2025-02,20.46,17.2,2
2022-05,24.89,50.7,7
2025-11,20.34,50.6,1
2024-04,26.76,76.5,17
2023-07,27.21,175.6,4
2025-04,25.17,30.8,3
2022-08,23.7,185.9,3
2024-01,16.52,27.5,0
2020-12,21.04,35.1,3
2025-09,23.83,129.5,7
2023-05,25.99,41.0,4
2024-06,23.64,120.5,8
2022-03,19.35,41.1,4
2025-01,18.0,30.9,4
2019-07,25.33,161.3,4
2019-10,22.1,79.0,1
2022-07,29.13,182.6,10
2024-02,18.72,17.0,0
2024-08,25.68,184.8,6
2022-01,16.81,57.3,0
2023-07,26.54,204.6,11
2022-11,19.26,60.7,4
2025-09,23.19,160.3,7
2023-07,29.63,217.1,17
2021-12,21.96,0.0,3
2025-10,21.69,95.8,4
2019-10,23.12,87.3,12
2025-11,18.35,50.3,3
2020-01,20.85,30.3,3
2021-01,18.5,48.0,5
2024-10,22.63,72.2,6
2024-02,19.95,16.2,1
2025-10,20.46,86.1,2
2024-03,22.0,18.1,3
2023-06,28.63,124.3,9
2021-06,29.2,145.4,8
2019-01,14.32,44.3,0
2019-11,16.46,32.0,0
2021-02,18.21,26.8,2
2019-04,24.22,33.0,8
2022-07,26.31,209.0,9
2024-06,27.04,132.6,8
2025-09,28.05,111.8,10
2022-06,31.47,131.3,9
2025-02,18.92,7.1,2
2025-11,21.1,48.1,4
2025-01,18.04,45.5,1
2022-04,22.09,32.1,1
2021-04,21.83,50.6,4
2025-11,19.86,92.7,5
2020-09,21.68,139.5,7
2021-11,19.47,52.9,6
2019-07,26.64,194.3,8
2024-07,29.12,208.2,14
2023-07,29.15,188.6,7
2019-08,26.44,173.3,10
2020-07,31.06,196.4,8
2022-11,19.74,52.1,1
2022-10,24.71,101.8,6
2024-08,27.33,170.1,7
2020-11,22.4,77.6,9
2025-06,23.22,146.4,9
2022-02,16.94,28.4,0
2024-10,21.41,78.2,6
2020-09,28.85,106.2,10
2019-04,22.21,30.5,4
2019-05,24.73,53.5,4
2021-08,25.92,176.6,12
2025-09,22.98,136.7,3
2019-05,25.08,48.4,6
2021-07,27.06,205.9,13
2019-10,25.05,94.1,6
2025-07,24.5,165.8,5
2023-09,24.03,102.5,2
2024-05,29.74,99.2,7
2023-12,22.4,25.4,5
2023-08,24.69,162.6,4
2024-05,25.35,41.4,3
2019-01,18.49,15.4,1
2025-01,18.66,39.1,0
2024-03,17.18,48.3,2
2024-03,22.44,13.1,3
2021-10,27.97,72.7,6
2024-08,27.44,163.1,10
2021-09,23.82,166.5,12
2019-05,27.63,32.4,6
2025-05,24.5,73.8,1
2020-08,26.51,153.7,13
2019-09,25.81,164.8,6
2023-05,29.97,46.9,9
2020-08,29.06,197.6,7
2025-01,16.04,31.0,1
2022-02,17.57,53.3,0
2019-01,17.46,18.0,0
2025-08,26.31,173.3,14
2022-08,25.33,177.2,9
2020-11,15.34,17.4,0
2023-09,22.41,127.4,6
2022-09,25.12,134.6,4
2019-03,18.03,34.5,1
2024-04,25.07,19.0,4
2021-10,22.06,86.1,6
2023-11,21.92,26.5,9
2025-04,23.31,65.9,4
2023-04,23.03,41.5,5
2023-09,24.59,150.9,4
2020-10,24.35,82.7,5
2020-08,25.64,165.8,7
2021-11,24.34,26.6,1
2024-12,15.77,57.1,1
2022-09,25.55,187.9,9
2021-06,27.01,147.8,8
2024-06,28.24,132.6,8
2024-12,19.07,27.9,6
2025-04,23.46,40.1,5
2021-02,15.78,36.9,0
2023-12,20.59,47.3,3
2023-02,18.92,28.5,0
2022-02,19.06,36.0,4
2021-10,24.73,107.9,7
2019-10,17.6,74.0,3
2020-12,16.38,39.7,0
2022-11,21.39,51.7,3
2025-03,21.99,0.0,2
2025-01,17.42,11.3,0
2020-04,28.52,22.7,7
2023-10,23.17,105.0,3
2019-08,24.92,159.8,10
2023-09,23.0,124.3,4
2021-05,27.34,53.1,7
2022-02,20.18,5.8,1
2024-01,17.31,27.4,1
2021-12,15.25,22.9,0
2024-08,28.22,169.1,10
2022-09,24.18,138.1,4
2025-12,17.24,3.2,0
2023-06,27.11,154.1,8
2021-01,15.36,15.4,0
2024-06,29.79,154.5,9
2021-11,21.82,27.2,6
2022-09,22.74,129.4,7
2019-12,17.26,43.7,2
2019-11,14.28,71.4,0
2023-01,15.14,6.9,0
2020-04,25.38,36.7,6
2025-12,22.26,36.7,4
2024-12,22.71,55.0,5
2023-11,19.97,26.5,2
2024-02,18.81,0.0,0
2023-02,22.86,29.4,4
2019-06,25.39,151.5,10
2021-09,22.03,114.8,7
2022-06,24.62,130.8,2
2025-05,30.44,25.9,4
2020-07,29.77,136.4,5
2022-06,29.63,136.8,12
2021-05,26.76,45.6,7
2019-12,17.83,40.7,0
2019-09,25.48,100.2,7
2021-07,25.69,187.5,16
2019-07,26.15,174.0,12
2019-06,27.55,173.0,18
2021-06,28.37,155.1,8
2020-05,23.96,89.4,6
2022-11,17.08,52.5,0
2019-02,19.73,50.5,1
2021-02,17.34,13.1,0
2022-03,21.64,3.9,3
2025-09,24.69,147.2,10
2023-06,27.83,147.2,9
2025-02,19.13,0.0,0
2021-05,21.77,77.1,6
2022-02,22.42,35.7,6
2021-12,17.1,31.5,0
2025-03,21.68,0.0,4
2025-09,24.52,130.7,13
2025-09,25.6,140.8,7
2024-04,24.7,23.6,3
2022-07,23.19,150.5,10
2022-10,25.47,113.3,12
2025-11,17.8,66.3,0
2020-12,17.58,64.1,4
2021-06,24.11,145.4,9
2025-04,22.62,21.4,0
2021-09,24.02,132.7,10
2020-08,22.76,162.0,0
2022-12,20.73,77.1,3
2021-04,27.25,14.0,10
2025-03,17.62,34.2,0
2025-05,26.5,84.0,12
2021-02,16.15,0.0,1
2022-09,29.21,125.3,14
2025-11,19.52,49.6,0
2024-03,21.31,46.6,6
2020-07,25.19,201.2,9
2023-02,18.97,52.4,0
2023-05,28.76,85.0,10
2023-07,28.56,190.9,15
2019-03,20.77,44.8,4
2021-02,20.27,11.1,0
2024-12,16.91,34.7,0
2020-09,24.34,125.0,13
2021-02,20.01,23.5,4
2021-04,23.03,29.2,3
2020-03,21.61,33.1,7
2020-02,20.95,5.8,3
2021-06,31.72,142.3,12
2025-02,17.93,55.8,3
2019-01,19.61,24.0,3
2020-12,19.42,47.5,2
2019-06,24.83,162.3,9
2022-12,19.07,32.3,0
2020-10,21.58,90.2,2
2024-07,28.26,208.3,19
2023-02,16.14,29.1,1
2024-06,29.24,168.6,7
2023-06,26.13,175.4,2
2022-01,18.61,56.2,3
2025-01,17.93,20.0,0
2022-05,27.08,79.8,7
2025-08,29.27,172.2,13
2025-12,19.1,27.5,3
2023-02,20.33,22.4,3
2023-09,25.71,147.8,9
2020-10,25.36,120.3,10
2024-09,25.85,133.9,10
2023-09,24.76,104.6,5
2025-04,21.93,14.3,4
2020-11,21.02,54.8,1
2024-07,26.64,201.4,12
2022-04,25.53,43.8,4
2020-04,25.92,51.6,9
2020-03,18.75,28.7,3
2022-12,14.99,11.0,0
2021-03,19.61,15.1,0
2019-09,23.39,129.3,6
2021-12,18.53,49.6,4
2023-07,27.09,205.9,3
2021-03,17.59,0.0,1
2025-09,25.7,121.0,5
2024-06,29.54,130.3,6
2022-08,30.25,194.0,12
2025-07,27.93,145.5,11
2022-01,16.96,59.3,2
2019-12,19.3,29.0,0
2019-04,24.8,8.6,1
2025-07,27.9,172.7,10
2025-09,23.78,126.9,10
2024-03,19.31,0.0,2
2019-09,26.68,140.4,9
2021-01,20.87,39.4,5
2019-04,25.04,12.5,10
2019-05,26.07,73.6,3
2020-09,23.44,126.4,5
2023-01,17.63,33.6,1
2019-06,24.43,145.3,6
2025-11,15.91,98.7,0
2022-03,23.17,16.3,4
2020-11,18.21,43.4,5
2022-08,27.41,144.3,12
2024-07,29.53,173.5,14
2021-03,18.48,0.0,0
2019-04,26.12,29.5,7
2019-05,27.32,44.7,10
2024-12,16.91,29.4,1
2019-10,21.21,118.8,2
2023-06,30.65,167.8,9
2021-09,22.5,147.0,2
2024-06,30.16,118.2,11
2019-06,29.23,140.1,5
2025-04,22.6,35.9,7
2023-11,20.58,72.3,2
2022-02,18.72,33.2,2
2020-06,28.97,143.7,3
2025-11,22.3,58.0,5
2021-02,18.09,0.0,0
2022-06,27.37,128.0,8
2021-10,22.59,57.3,5
2020-08,26.22,158.2,14
2021-11,21.38,50.7,3
2020-01,18.92,9.9,2
2019-01,16.07,51.1,1
2021-01,16.08,29.1,0
2019-10,20.17,65.1,4
2021-11,19.73,49.0,3
2025-01,20.19,0.0,2
2020-02,22.79,53.2,0
2019-01,16.71,32.7,0
2019-10,26.62,78.1,6
2022-07,27.09,173.2,5
2020-12,18.08,46.9,3
2022-06,29.78,176.9,3
2019-03,22.66,6.4,1
2021-04,27.13,5.8,8
2021-11,17.47,55.4,0
2022-01,19.99,39.3,0
2022-11,19.12,48.8,1
2024-06,26.05,170.9,6
2022-04,23.78,25.8,8
2024-11,21.69,64.2,1
2022-09,23.64,150.3,5
2020-10,22.24,86.8,3
2020-08,30.24,158.8,12
2021-04,21.47,56.1,3
2023-03,20.28,38.0,4
2020-09,24.63,175.9,10
2025-05,28.04,58.8,14
2022-05,25.6,47.6,11
2025-01,19.14,36.0,0
2023-10,24.32,108.6,8
2021-05,27.03,43.7,5
2020-08,29.29,174.0,12
2024-03,24.88,26.0,5
2021-04,27.04,33.6,5
2020-09,25.5,149.6,13
2025-07,28.58,154.7,7
2022-05,25.51,28.6,2
2019-05,26.31,48.8,6
2022-06,27.92,167.3,7
2022-03,23.79,22.9,10
2025-01,15.83,38.2,0
2023-12,19.6,85.6,3
2020-05,25.1,49.7,4
2020-01,20.33,0.4,1
2023-03,19.28,43.7,0
2019-04,24.97,35.1,3
2021-03,20.21,47.0,0
2019-12,19.53,27.8,2
2019-02,20.96,44.4,5
2025-06,27.38,147.3,7
2019-08,25.7,163.7,4
2019-01,14.96,49.1,0
2025-07,27.82,205.2,8
2020-04,26.92,20.4,5
2024-09,29.96,116.5,12
2019-03,23.78,16.8,6
2020-01,18.13,17.5,1
2019-10,22.97,96.1,6
2023-12,18.18,36.2,0
2023-05,25.89,48.8,11
2022-04,25.46,16.3,3
2020-09,26.7,103.3,6
2019-08,26.04,135.6,4
2022-12,16.2,62.3,0
2020-08,25.56,200.0,8
2023-02,19.57,0.0,3
2023-10,26.91,111.1,5
2024-12,16.87,36.8,0
2022-06,27.05,169.1,7
2019-01,16.14,7.7,0
2020-12,19.88,20.2,0
2024-12,20.12,36.9,1
2022-09,23.85,115.5,7
2023-05,25.55,27.0,4
2022-03,21.68,0.0,1
2020-02,21.25,18.4,7
2025-04,22.88,43.4,2
2024-05,27.86,79.2,7
2025-12,16.92,19.4,1
2024-12,21.63,41.7,6
2021-01,19.32,28.7,3
2020-10,21.44,40.1,5
2020-09,26.72,112.6,3
2025-06,27.89,153.2,13
2022-11,21.57,73.1,6
2022-03,24.01,29.9,5
2025-10,21.89,98.1,2
2023-03,21.18,43.4,1
2025-05,26.41,48.9,6
2025-11,18.36,18.0,0
2019-07,28.4,204.2,10
2021-07,28.3,208.0,11
2024-02,17.76,21.8,0
2024-09,22.8,140.2,8
2020-01,19.23,42.1,2
2021-03,21.47,31.9,4
2022-11,18.0,15.2,0
2024-08,23.26,146.0,7
2019-10,25.38,108.1,7
2023-03,21.03,56.3,4
2021-01,15.88,57.4,0
2020-07,23.18,168.3,6
2022-08,25.34,213.7,5
2021-11,17.15,33.6,1
2023-06,30.96,153.4,11
2021-03,20.3,28.0,4
2024-10,23.46,75.1,4
2019-07,25.54,184.5,8
2025-01,16.87,0.0,1
2019-03,20.98,33.4,4
2024-02,20.3,48.2,4
2021-06,26.84,144.0,9
2021-09,26.01,120.8,6
2019-02,19.78,5.8,0
2023-11,18.64,78.5,5
2020-02,16.22,0.0,1
2023-08,28.97,164.1,9
2024-01,20.45,35.4,3
2024-12,17.8,0.0,1
2023-12,15.64,40.5,0
2021-02,17.22,30.4,1
2024-03,20.71,19.1,4
2024-10,20.67,98.6,3
2021-03,19.66,36.5,1
2019-11,21.64,65.0,1
2025-03,22.18,17.2,4
2020-01,17.89,54.1,2
2023-02,20.38,45.1,3
2020-08,26.19,160.7,5
2019-11,21.24,34.3,3
2024-06,29.1,133.6,9
2020-01,16.84,14.8,0
2023-09,22.38,170.0,5
2023-11,21.04,45.9,5
2019-06,25.28,179.6,8
2020-03,21.91,0.0,1
2024-07,27.87,141.4,12
2022-07,25.07,183.0,9
2019-11,20.64,27.8,1
2025-12,19.26,33.5,3
2020-11,21.74,103.5,6
2019-01,15.22,0.0,0
2025-06,24.98,137.3,0
2019-02,17.76,14.2,0
2022-11,22.94,53.0,4
2025-12,18.03,46.8,1
2023-01,19.61,14.9,1
2023-02,18.77,6.7,1
2021-09,21.87,127.4,6
2019-11,17.41,29.4,0
2023-01,18.46,1.0,1
2025-04,22.75,12.6,4
2019-08,26.45,202.5,9
2025-02,21.22,9.5,2
2021-11,17.64,47.8,1
2022-10,22.74,73.3,3
2020-02,17.61,14.1,0
2023-05,28.6,39.1,6
2020-04,22.18,21.2,5
2020-11,20.48,54.6,6
2024-01,14.66,2.3,1
2019-05,24.77,46.3,4
2022-02,18.52,3.2,0
2023-02,20.82,17.3,5
2019-12,17.07,52.3,5
2021-01,17.93,14.5,0
2021-05,23.98,74.9,3
2023-08,25.92,140.4,5
2025-11,18.18,55.3,3
2024-11,20.18,53.6,2
2020-04,25.21,21.6,5
2019-02,21.46,61.6,9
2019-05,24.95,36.2,4
2023-03,20.49,6.7,3
2020-02,17.94,13.8,0
2020-08,27.31,195.9,7
2024-12,19.59,30.3,3
2025-02,19.88,7.4,1
2024-11,22.49,50.1,7
2020-10,17.95,73.1,0
2023-05,19.79,43.0,2
2023-04,25.03,55.5,8
2020-04,24.9,39.4,4
2022-11,16.29,55.8,2
2022-09,21.47,122.1,6
2021-10,23.19,80.0,2
2024-04,26.54,44.3,8
2023-09,26.68,141.9,9
2022-09,26.84,153.1,5
2024-01,17.75,53.6,2
2024-05,26.93,65.6,6
2022-12,20.54,35.8,5
2020-11,21.16,41.3,3
2024-04,20.9,43.8,4
2024-01,16.46,30.1,0
2025-11,19.75,36.0,2
2020-01,17.76,51.8,3
2021-12,18.01,0.0,3
2025-06,24.74,126.6,7
2022-08,26.43,143.3,8
2025-08,29.12,159.6,5
2019-02,21.18,42.9,1
2019-03,19.57,15.6,0
2024-07,27.58,192.2,12
2021-07,26.58,179.9,9
2022-08,24.36,136.4,4
2021-12,14.09,35.3,1
2021-11,16.11,23.6,0
2025-07,26.86,185.7,10
2019-08,26.61,155.4,12
2024-05,30.04,54.4,11
2025-03,22.68,4.0,1
2023-08,26.48,160.1,11
2021-10,23.89,64.1,6
2020-02,16.31,21.6,1
2023-10,21.63,96.4,8
2022-04,19.93,27.2,2
2020-01,20.13,33.8,2
2021-07,26.77,225.1,14
2025-09,26.46,155.3,6
2020-11,20.92,1.7,1
2020-03,23.49,46.0,2
2023-10,20.09,63.9,3
2020-05,25.47,72.1,8
2025-06,25.65,167.8,9
2025-01,17.89,7.6,1
2025-11,21.15,41.5,2
2025-05,24.23,66.4,3
2020-09,21.55,137.6,4
2020-06,25.81,199.5,10
2021-05,24.03,85.6,4
2022-04,23.25,5.9,3
2025-02,21.64,23.5,6
2024-02,21.96,19.0,1
2023-07,26.62,172.8,9
2025-02,17.97,18.0,0
2023-07,28.95,225.4,9
2021-08,28.5,209.4,15
2021-11,21.26,49.6,2
2022-08,26.08,170.2,14
2019-08,24.46,135.9,7
2024-03,15.78,11.5,0
2023-07,26.17,196.3,7
2024-02,21.03,16.4,2
2022-09,25.82,132.5,9
2024-06,27.54,169.0,11
2025-08,32.9,169.1,14
2022-12,18.28,61.5,1
2022-02,20.16,30.2,1
2019-09,27.23,123.3,8
2024-06,26.34,196.0,12
2025-04,26.69,49.7,4
2023-11,21.31,3.0,4
2025-01,14.4,51.8,0
2025-01,16.55,46.1,0
2024-08,26.75,178.3,12
2022-07,25.17,166.2,11
2019-09,23.36,145.7,9
2019-01,16.49,52.8,0
2020-06,26.35,144.6,6
2022-01,19.59,30.0,1
2024-03,20.57,17.5,2
2022-03,19.58,56.0,1
2019-02,17.5,21.0,0
2020-06,30.2,166.8,5
2025-11,20.93,67.4,1
2025-11,25.27,51.9,5
2021-08,28.4,187.2,7
2024-08,26.95,136.1,11
2024-01,18.39,30.4,0
2025-07,25.94,160.3,9
2025-03,22.6,8.1,2
2023-05,23.26,41.1,6
2021-10,26.75,62.2,9
2023-05,26.22,117.7,2
2021-03,20.59,26.8,1
2021-06,31.54,145.0,8
2023-04,21.95,20.0,4
2022-12,16.57,25.8,0
2023-01,18.14,8.1,0
2021-09,26.29,156.5,8
2021-11,19.5,68.0,1
2019-01,17.48,0.0,0
2023-03,17.15,21.8,1
2023-01,17.73,39.2,2
2025-07,28.86,164.5,9
2022-07,26.46,165.9,6
2022-04,20.85,60.4,4
2019-06,29.62,125.8,6
2020-05,27.03,69.0,7
2021-05,24.2,55.8,4
2021-08,27.41,170.6,13
2021-07,26.15,202.7,8
2021-10,21.2,87.8,6
2024-05,24.53,52.2,4
2019-12,20.49,21.4,0
2021-04,22.23,47.4,3
2020-02,21.76,54.3,8
2021-02,19.93,46.4,1
2023-10,27.69,94.1,9
2019-04,20.11,47.7,0
2021-05,26.42,50.7,6
2019-02,17.99,38.0,0
2025-09,25.41,147.4,6
2024-02,19.83,7.4,1
2020-09,25.13,166.8,5
2020-05,21.29,58.0,7
2019-09,27.18,112.1,4
2022-04,24.5,58.3,4
2024-04,27.8,5.0,7
2023-02,21.99,0.0,1
2025-03,21.88,34.3,3
2021-05,24.52,48.0,2
2020-12,16.84,59.5,1
2022-05,23.83,77.4,4
2020-05,25.84,81.1,3
2025-10,23.5,76.5,10
2020-04,23.44,50.6,3
2022-05,22.56,26.2,3
2022-08,26.59,165.3,8
2019-05,26.0,99.4,1
2022-04,25.13,23.2,0
2022-03,21.65,32.0,4
2020-10,28.21,81.0,4
2019-11,20.9,45.3,2
2019-04,21.42,56.9,9
2019-01,18.65,1.8,2
2022-05,29.83,73.4,5
2019-08,29.05,160.9,8
2025-09,22.45,176.9,4
2020-09,27.04,137.7,7
2023-07,27.26,187.5,8
2023-09,27.55,148.8,8
2022-06,29.88,163.5,18
2025-03,20.67,5.4,2
2019-10,23.59,80.0,4
2020-08,26.84,175.7,11
2020-10,18.29,57.8,1
2019-12,17.44,58.8,0
2021-01,18.39,22.6,1
2021-03,23.22,45.4,3
2024-05,25.26,30.7,5
2021-02,18.78,17.3,1
2025-02,18.23,47.5,4
2024-05,28.93,80.0,9
2025-04,22.48,23.6,3
2019-09,25.1,187.1,4
2025-11,20.41,38.3,4
2023-04,26.92,38.4,7
2025-11,24.39,39.8,6
2021-06,29.84,157.0,11
2025-09,26.23,133.1,6
2023-02,16.07,0.0,1
2019-07,26.0,161.1,9
2021-11,19.01,72.1,8
2019-12,19.3,73.9,5
2025-08,26.29,161.0,8
2021-02,15.03,51.8,0
2020-07,29.28,213.1,9
2022-11,22.68,33.7,4
2021-12,23.82,11.3,8
2019-09,25.56,148.7,9
2024-09,27.39,156.9,15
2024-12,21.14,36.4,3
2024-03,19.31,61.3,1
2023-04,24.56,43.8,5
2021-10,24.97,89.9,9
2022-10,21.54,72.1,2
2022-08,26.62,165.8,10
2020-02,20.35,27.2,1
2019-07,25.79,194.9,9
2020-10,25.33,77.1,6
2022-03,22.1,0.0,3
2020-02,19.75,0.0,1
2019-09,21.3,157.0,7
2024-12,19.24,0.0,0
2021-08,25.77,139.0,5
2023-02,17.02,63.6,2
